iter	RMSE
0	151428566.8
1	148852383.8
2	146416069.4
3	143936346.2
4	141678358.1
5	139532645.8
6	137403984.1
7	135236892.1
8	133369878.3
9	131357748.8
10	129459983.1
11	127517974.2
12	125938313.2
13	124109769.9
14	122298050.3
15	120692236.2
16	119265333.7
17	117771324.2
18	116282298
19	114998959.4
20	113692325.3
21	112315691
22	111062241.3
23	109768496.9
24	108662448.4
25	107645107.3
26	106575068.4
27	105393798
28	104325420.2
29	103206126.7
30	102146888.7
31	101333843.8
32	100497910.8
33	99512547.18
34	98758543.6
35	97963027.22
36	97120755.08
37	96469698.59
38	95772825.78
39	95033088.03
40	94270148.06
41	93652944.66
42	93064502.91
43	92424605.46
44	91814188.17
45	91197513.33
46	90768686.53
47	90106143.11
48	89610533.09
49	89173950.8
50	88737647.58
51	88293876.75
52	87882018.12
53	87443654.07
54	87022823.16
55	86622848.62
56	86270716.78
57	85803397.6
58	85432603.61
59	85114188.14
60	84827519.05
61	84525083.44
62	84215945.19
63	83857740.77
64	83468841.84
65	83123145.72
66	82773808.05
67	82444261.51
68	82117677.36
69	81846480.56
70	81663390.87
71	81417856.62
72	81171753.41
73	80893037.48
74	80678764.84
75	80433591.28
76	80250054.9
77	80045351.69
78	79791703.46
79	79684259.9
80	79499003.63
81	79378181.72
82	79138130.07
83	79033202.14
84	78855865.58
85	78709127.14
86	78462822.72
87	78347824.1
88	78155765.41
89	77967321.24
90	77833686.1
91	77670355.05
92	77496193.11
93	77361259.16
94	77157863.83
95	77063968.65
96	76932175.28
97	76799992.88
98	76571920.67
99	76489065.1
